[2026-08-07 10:13:52] [INFO] ============================================
[2026-08-07 10:13:52] [INFO] Script started.
[2026-08-07 10:13:52] [INFO] Script name: 08_round_edges.py
[2026-08-07 10:13:52] [INFO] Project: AIML-Driven Super-Resolution and Volumetric Reconstruction for Mixing Tanks
[2026-08-07 10:13:52] [INFO] Script folder: C:\AI_ML_Fellowship\Project2\Scripts
[2026-08-07 10:13:52] [INFO] Source folder: C:\AI_ML_Fellowship\Project2\Images\04_Transparent
[2026-08-07 10:13:52] [INFO] Output folder: C:\AI_ML_Fellowship\Project2\Images\05_Final_Rounded
[2026-08-07 10:13:52] [INFO] Alpha cutoff: 128
[2026-08-07 10:13:52] [INFO] Supersample factor: 4
[2026-08-07 10:13:52] [INFO] Logs folder: C:\AI_ML_Fellowship\Project2\Scripts\Logs
[2026-08-07 10:13:52] [INFO] Log file: C:\AI_ML_Fellowship\Project2\Scripts\Logs\08_round_edges.log
[2026-08-07 10:13:52] [INFO] Found 155 PNG file(s) in C:\AI_ML_Fellowship\Project2\Images\04_Transparent.
[2026-08-07 10:17:31] [INFO] Processed: frame_0097.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0097.png
[2026-08-07 10:17:34] [INFO] Processed: frame_0098.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0098.png
[2026-08-07 10:17:37] [INFO] Processed: frame_0099.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0099.png
[2026-08-07 10:17:40] [INFO] Processed: frame_0100.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0100.png
[2026-08-07 10:17:42] [INFO] Processed: frame_0101.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0101.png
[2026-08-07 10:17:45] [INFO] Processed: frame_0102.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0102.png
[2026-08-07 10:17:48] [INFO] Processed: frame_0103.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0103.png
[2026-08-07 10:17:52] [INFO] Processed: frame_0104.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0104.png
[2026-08-07 10:17:55] [INFO] Processed: frame_0105.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0105.png
[2026-08-07 10:17:58] [INFO] Processed: frame_0106.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0106.png
[2026-08-07 10:18:00] [INFO] Processed: frame_0107.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0107.png
[2026-08-07 10:18:02] [INFO] Processed: frame_0108.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0108.png
[2026-08-07 10:18:05] [INFO] Processed: frame_0109.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0109.png
